text;key
~ Bắt đầu trận đấu ~;battle.start
Tiêu diệt chúng!;battle.npc_ally
Chiến đấu nào !;battle.npc_enemy
Xác nhận;battle.Confirm
Hủy bỏ;battle.Cancel
Xác nhận trận chiến;battle.Begin
Di chuyển;battle.Move
Quét;battle.Scan
Kết thúc;battle.Turn
Cửa sổ của trò chơi;help.wskin
Hình nền trò chơi;help.menuBack
Tất cả;categories.ALL
Thực phẩm;categories.FOOD
Kẹo;categories.CAKE
Nước uống;categories.DRINK
Chìa khóa;categories.KEY
Phổ biến;categories.COMMON
Quý hiếm;categories.RAREITEM
Dược phẩm;categories.MEDICAMENT
Vật liệu;categories.MATERIAL
Vũ khí;categories.WEAPON
Giáp;categories.ARMOR
Nguyên liệu;categories.RawFoods
Cấp cứu;categories.Health
Điện tử;categories.Electronic
Món tráng miệng;food.f001
\c[17]Nhận được số điểm thưởng \V[3] tăng tiền nhận được \i[2] \V[6] $;waiter.scores
Tấn công;skill_name.1
Phòng thủ;skill_name.2
Tấn công kép;skill_name.3
Tấn công đôi;skill_name.4
Tấn công ba;skill_name.5
Thoát ;skill_name.6
Dịch chuyển tức thời;skill_name.73
Phoenix;skill_name.74
Mèo;skill_name.75
Giành chiến thắng tuyệt vời ;skill_name.133
Chuyển vị ;skill_name.134
Làn sóng chữa bệnh ;skill_name.135
Bom ;skill_name.136
Mũi tên lửa ;skill_name.137
Bọ độc ;skill_name.162
Fire Surge ;skill_name.163
Summon Pyra ;skill_name.164
Evil Healing ;skill_name.165
Mark của Mago ;skill_name.166
Chết;states.1
Đỡ;states.2
Bất diệt;states.3
Đầu độc;states.4
Liên kết;states.5
Im lặng ;states.6
Đang sạc;states.46
Ảo giác đáng sợ;states.31
Bị đe dọa ;states.32
Tấn công nặng ;states.33
Vô hình;states.34
Tập trung ;states.35
Hồi sinh một đồng Minh;skill.des50
Bảo vệ hiệu quả đồng Minh trong hai lượt;skill.des51
Dịch chuyển sau đó chuyển Thả Tim ở vị trí cũ. Phạm vi được dựa trên các điểm di chuyển hiện tại;skill.des52
Số lần truy cập và đẩy mục tiêu đến hai ô.xyzabcc[10] Thời gian hồi chiêu: 3 lần lượt;skill_des.11
Nhảy tới vị trí sẵn có trong phạm vi và gọi a sấm sét để gây sát thương cho các chiến binh lân cận.xyzabcc[10] Thời gian hồi chiêu: 5 lần lượt;skill_des.12
Chạy về phía mục tiêu.xyzabcc[10] Thời gian hồi chiêu: 2 lần lượt;skill_des.13
Tạo ra một aura giúp giảm ATK của kẻ thù xuống 15%.Tài trợ cũng như 70% cơ hội phản công.xyzabcc[10] Thời gian hồi chiêu: 5 lần lượt;skill_des.14
Tấn công mục tiêu và xóa 3 điểm di chuyển.xyzabcc[10] Thời gian hồi chiêu: 3 lượt;skill_des.15
Thu hút sự chú ý của kẻ thù lên người dùng. Có thể sử dụng một hành động khác sau kỹ năng này.xyzabcc[10] Thời gian hồi chiêu: 6 lượt;skill_des.16
Đặt nhiều điểm lửa trên mặt đất.xyzabcc[10] Thời gian hồi chiêu: 5 lượt;skill_des.47
Hồi sinh một đồng MInh;skill_des.50
Bảo vệ hiệu quả đồng MInh trong hai lượt;skill_des.52
Teleports sau đó cast Spark tại vị trí cũ. Phạm vi dựa trên các điểm di chuyển hiện tại.xyzabcc[10] Cooldown: 6 turn;skill_des.53
Hồi phục một mục tiêu và kết thúc lượt.xyzabcc[10] Thời gian hồi chiêu: 2 lượt;skill_des.72
Dịch chuyển caster trong phạm vi trung bình.xyzabcc[10] Cooldown: 5 turn;skill_des.73
Triệu hồi một Phoenix, khiến đối phương rơi vào giấc ngủ.xyzabcc[10] Thời gian hồi chiêu: 5 lần lượt;skill_des.74
Triệu hồi năm con mèo\c[10] Thời gian hồi chiêu: 6 lượt;skill_des.75
Khởi động một quả bóng mana nảy\c[10] Thời gian hồi chiêu: 2 lượt;skill_des.92
Triệu hồi một kẻ tấn công tấn công kẻ thù ngay sau khi họ nhập phạm vi hành động.;skill_des.102
Giảm sát thương gió trong phạm vi tầm trung với 15% cơ hội gây mù mục tiêu.;skill_des.132
Gây sát thương gió và đẩy mục tiêu.Sát thương va chạm của kỹ năng this tăng lên đáng kể;skill_des.133
Chuyển vị trí với mục tiêu trong phạm vi trung bình.;skill_des.134
Hồi phục ở khu vực nhỏ;skill_des.135
Khởi chạy mũi tên lửa;skill_des.137
Gây sát thương hỏa hoạn cho một mục tiêu trong một phương tiện range.;skill_des.163
Ném một con dao nhỏ nhưng sắc bén về phía mục tiêu.;skill_des.169
Vật lý;types.element_01
Ma thuật;types.element_02
Tiên;types.element_03
Hổ trợ;types.skill_01
Hacking;types.skill_02
Đặc biệt;types.skill_03
Tay súng;types.skill_04
Súng;types.weapon_01
Móng;types.weapon_02
Giáp nhẹ;types.armor_01
Giáp vừa;types.armor_02
Giáp nặng;types.armor_03
Giáp quý hiếm;types.armor_04
Vũ khí;types.eqWeapon
Giáp;types.eqArmor
Trang trí;types.eqHead
Trang phục;types.eqBody
Cái gì?;text.what
Chơi như thế nào ?;text.effect001
Công thức chế tạo đang tìm hiểu;text.recipec
Ngôn ngữ;text.Languages
Độ phân giải;text.resolution
Kết quả;text.result
Khách hàng;text.client
gọi món;text.call
số;text.stt
cần;text.need
Hoàn thành;text.completion
Thu thập;text.itemCollector
Vật phẩm;text.item
Trang bị;text.equip
Trạng thái;text.status
Tùy chọn;text.options
Lưu game;text.save
Tải game;text.load
Thoát;text.quit
Đồng ý;text.yes
Bỏ qua;text.no
Hiệp sĩ;text.class_01
Pháp sĩ;text.class_02
Chiến binh;text.class_03
Lính;text.class_04
Hacker;text.class_05
Triệu hồi sư;text.class_06
Thầy tu;text.class_07
Sự kiện thi đấu năm nay quá khó, \ntớ không muốn thua cuộc.;NPC.1
Là con gái tham gia cuộc thi, \nvì vậy tớ đang cô đơn.;NPC.2
Ngôi đền này đã tồn tại từ rất lâu.;NPC.3
tớ cần vào đền thờ, làm ơn!;NPC.4
Cậu muốn vay mượn gì?;NPC.tuyen_1
Đây là phương tiện nhanh nhất. \nQuá dễ dàng để hoàn thành nhiệm vụ.;NPC.tuyen_2
Đây là một chiếc xe tuyệt vời, nó có thể bay.;NPC.tuyen_3
Mặc dù xe đẹp nhưng nó chạy rất chậm.;NPC.tuyen_4
Cậu có muốn chấp nhận nó không?;NPC.tuyen_ask
Ở lại đây!;NPC.here
tớ sẽ nhận được gì khi tham gia nhóm;NPC.bb1
Chắc chắn rồi! có thể tớ sẽ thử.;NPC.bb2
Hãy thử nó!;NPC.bb3
PHI: Được thôi, chúc may mắn. \nVì cậu là bạn của tớ, nên tớ sẽ khuyên cậu \nkhông nên để em gái của cậu tham gia \nvào Quá Trình. \nBởi vì ngày hôm đó sẽ là một vụ nổ lớn.;NPC.bb4
DANG: Cảm ơn cậu, tớ sẽ không \nNói danh tính của cậu cho mọi người biết.;NPC.bb5
PHI: Được rồi, tạm biệt!;NPC.bb6
cậu có thể ngừng hỏi tớ không?;NPC.ktx_1
Cô gái ngồi đối diện tôi, cô ấy thật xinh đẹp.;NPC.ktx_2
cậu có nghe thấy gì không?;NPC.ktx_3
Một ứng cử viên đã tự tử sau khi thật bại cuộc thi.;NPC.ktx_4
cậu có muốn thử không?;NPC.ktx_5
Đầu tiên, hãy nhận lấy nguyện liệu để tạo ra chúng.;NPC.ktx_6
Chào Anh!;NPC.ktx_7
Có gì!;NPC.ktx_8
Nhìn vào chúng trong túi! \nNhấn nút I để mở túi.;NPC.ktx_9
tớ biết anh ấy đã học công thức để tạo trò chơi, \ncậu có thể hỏi anh ấy.;NPC.ktx_10
Có, tớ chỉ cho cậu xem nó một lần!;NPC.ktx_11
không có gì;NPC.ktx_12
Hãy thực hành!;NPC.6_0
Này tân binh!;NPC.6_1
DIT là một nhóm sử dụng súng làm vũ khí chính. \nNhìn vào đây.;NPC.6_2
cậu có biết mỗi loại thiết bị có \nlực va tầm xa khác nhau không.;NPC.6_3
điều đó đặc biệt. Hãy thận trọng với điều đó \nHãy chiến đấu với tôi, Hãy cho tớ biết khả năng của cậu.;NPC.6_4
cậu muốn đi đâu?;NPC.carDIT
Tất cả;quest.all
Chính;quest.main
Phụ;quest.side
Đã hoàn thành;quest.completed
Đã thất bai;quest.failed
Tiêu đề nhiệm vụ;quest.header
Tiến trình nhiệm vụ;quest.step
Phần thưởng;quest.rewards
Theo dỏi;quest.track
Bỏ theo dỏi;quest.untrack
Từ bỏ nhiệm vụ;quest.abandon
Chấp nhận;quest.accept
Từ chối;quest.decline
Nhiệm vụ đã hoàn thành;quest.complete
Bỏ qua;quest.cancel
Nhiệm vụ;quest.name
Ai có thể chỉ dẫn cho tớ?;quest_detail.name1
Tìm kiếm ai đó, có thể chỉ điểm đến khu vực DU BI.;quest_detail.des1
Binh đoàn hỗ trợ thí sinh,;quest_detail.obj1_1
chắc chắn biết vị trí của;quest_detail.obj1_1a
Quá Trình cuộc tuyển chọn.;quest_detail.obj1_1b
Hướng dẫn viên TUYEN biết vị trí;quest_detail.obj1_2
nhưng cô ấy không thể ,;quest_detail.obj1_2a
điều khiển xe máy.;quest_detail.obj1_2b
Đãm bảo tớ phải có $ 250.00;quest_detail.name2
tớ phải kiếm được $250.00 trong vòng 2 tháng tiếp theo. \nNếu không sẽ trở nên khó khăn khi vào Quá Trình;quest_detail.des2
Tham gia vào Quá Trình;quest_detail.name3
tớ là tân binh?;quest_detail.des3
Đăng ký nội trú;quest_detail.name4
tớ phải tìm một nơi để ở;quest_detail.des4
Cái chết bí ẩn;quest_detail.name_side1
Tìm hiểu lý do tại sao ứng cử viên tự sát;quest_detail.des_side1
Tiếng Việt;lang.label
Hôm nay là \nNgày cuối cùng của cuộc tuyển chọn.;intro.1
Số phận của ứng viên sẽ thay đổi phù thuộc vào thử thách cuối cùng này.;intro.3
Cơ hội để có cuộc sống tốt đẹp, hạnh phúc chỉ dành cho người xứng đáng nhất,;intro.4
Ứng viên phải đạt tối thiểu 25 điểm trong 3 lần thử thách.;intro.5
tôi đoán, tôi đã có 20 điểm tích lũy.;intro.6
Thử thách cuối cùng lần này chỉ cần đạt thêm 5 điểm, \ntôi sẽ có cơ hội rời khỏi nơi khốn khó ở nông thôn, \nthay đổi số phận nghèo khó.;intro.7
tôi sẽ xếp loại vào nhóm người tài giỏi nhất của đất nước.;intro.8
Nhưng,;intro.9
Không ổn rồi!!;intro.10
Người hướng dẫn của tôi, đâu rồi nhỉ ?;intro.11
tôi không thể vượt qua thử thách chỉ bởi một mình.;intro.12
MI, cậu đang ở đâu?;intro.13
Bạn đã tham gia TEAM Sự Nghiệp, PHI đã tham gia và nhóm của bạn;MSG.MSG_1
Bạn đã tham gia TEAM Quá Trình, PHi trở thành kẻ thù của bạn.;MSG.MSG_2
Cuộc tuyển chọn lần thứ 99 đang diễn ra.;MSG.MSG_3
Xin lỗi, tớ đang bận.;TUAN.tut1
TUAN: Cậu muốn đến đó để làm gì ?;TUAN.TAP_1_20
TUAN: Ồ! thế à. Cần giúp đỡ gì nào !;TUAN.TAP_1_21
TUAN: Này, cậu Ứng viên. \nPhải nói rõ khu vực nào chứ, \nQuá Trình của năm nay tăng số lượng ứng viên \nrất đông nên có nhiều khu vực.;TUAN.TAP_1_22
TUAN: Thật không may, \ntớ không biết khu vực đó.;TUAN.TAP_1_23
TUAN: À mà này, TUYEN biết vị trí khu vực đấy \nNhưng cô ấy không biết điều khiển xe máy.;TUAN.TAP_1_24
TUAN: Đâu có được, cùng nhau ...đến đó,. \nNhư thế là sai luật. Binh đoàn màu Xanh sẽ phạt chúng ta. \nNếu điều đó xảy ra, cậu cũng sẽ mất thời gian chờ đợi. \nThậm chí là cậu không thể đến khu vực dự bị.;TUAN.TAP_1_25
TUAN: Được thôi, nhưng hãy thông báo cho cô ấy biết.;TUAN.TAP_1_26
TUAN: Này cậu, có nhiệm vụ cho chúng ta.;TUAN.TAP_1_30
TUAN: Hãy làm hoa tiêu cho ứng viên này,;TUAN.TAP_1_31
TUAN: Nhưng chúng ta cùng nhau đi, \ntớ biết cậu không thể điều khiển xe máy.;TUAN.TAP_1_32
TUAN: Nhiệm vụ của bình đoàn chúng ta \nlà phải hỗ trợ cho ứng viên cơ mà, \nphải hoàn thành nhiệm chứ.;TUAN.TAP_1_33
TUAN: Vì Quá Trình, \nvì lý tưởng của cuộc tuyển chọn này. \nChúng ta nên hoàn thành nhiệm vụ.;TUAN.TAP_1_34
TUAN: Chúng tớ đã hoàn thành nhiệm vụ, \nchúc mai mắn cậu ứng viên.;TUAN.TAP_1_40
TUAN: Cậu có thể kiếm kinh phí ở trung tâm thành phố. \nTrước khi hai tháng sau có kết quả của Quá Trình.;TUAN.TAP_1_41
TUAN: Càng nhiều càng tốt chứ!;TUAN.TAP_1_42
TUAN: Đúng rồi, nếu cậu rớt Quá Trình thì \ncậu không cần phải nguyên góp nữa đâu.;TUAN.TAP_1_44
TUAN: Phần hỗ trợ cho ứng viên \ngần như hoàn tất, tạm biệt.;TUAN.TAP_1_46
TUYEN: Gì thế!;TUYEN.TAP_1_30
TUYEN: Được thôi.;TUYEN.TAP_1_31
TUYEN: Ồ ..Khó thật đấy, tớ xin rút lui. \nKhông muốn mạo hiểm.;TUYEN.TAP_1_32
TUYEN: ...Thật là một nhiệm vụ đầy khó khăn.;TUYEN.TAP_1_34
TUYEN: Này cậu ứng viên, nên nhớ. \nNếu đỗ vào cuộc tuyển chọn, \nphải nộp kinh phí để đóng góp \nvào Quá Trình thêm lớn mạnh.;TUYEN.TAP_1_40
TUYEN: Đúng rồi, nếu cậu không đậu. \nSố kinh phí đấy vẫn thuộc về của cậu.;TUYEN.TAP_1_41
TUYEN: Đùa đấy à, Phí hằng năm để tổ chức trình \nQuá Trình là hơn $69,999,999.00 \nNên mỗi ứng viên phải đóng góp $250.00. \nNếu ứng viên không vượt qua được \nthử thách thì MIễn phí.;TUYEN.TAP_1_43
TUYEN: cậu có muốn đi cùng tớ không?;TUYEN.TAP_1_44
TUYEN: Tất nhiên, tớ đã có một trải nghiệm thật tuyệt vời.;TUYEN.TAP_1_45
TUYEN: tớ biết cậu cần một công việc, \ncó thể là một nơi tốt để kiếm tiền.;TUYEN.TAP_1_46
TUYEN: Cậu ở quê hương nào mới lên ?;TUYEN.TAP_1_48
TUYEN: Đồng ý! Cậu hãy ra con đường lớn \ncó bảng xe buýt chạm vào nó để \nđược di chuyển MIễn phí nhé, tạm biệt.;TUYEN.TAP_1_49
TUYEN:Vẫn chưa đủ tiền \nđể đóng góp vào Quá Trình à.;TUYEN.TAP2_10
TUYEN: Có công việc này có thể \ngiúp cậu có đủ tiền ngay lập tức, \nNhưng sẽ có khó khăn.;TUYEN.TAP2_11
TUYEN: Cậu sẽ trở thành ông chủ có xe, \nnhưng cậu phải đi đúng tuyến \nđường đi của khách hàng.;TUYEN.TAP2_12
TUYEN: Chính xác!;TUYEN.TAP2_13
TUYEN: Không thành vấn đề, \nNhưng hãy cẩn thận. \nTạm biệt, và bảo trọng.;TUYEN.TAP2_14
TUYEN: Nhấn phím M trên bàn phím, \nNếu cậu không biết địa chỉ.;TUYEN.TAP2_15
Anh đã tham gia Quá Trình chưa ?;NHUNG.NHUNG_1
Quá tốt, hãy cố gắng học rồi sẽ có tất cả.;NHUNG.NHUNG_2
NHUNG: cậu muốn tham gia Quá Trình để làm gì ?;NHUNG.DANG_T1
NHUNG: À, à..ừ. Thế cậu có biết phím ấn \nthường sử dụng trong các trò chơi hay không ?;NHUNG.DANG_T2
NHUNG: Tất nhiên..;NHUNG.DANG_T3
tớ chắc chắn sẽ đậu, \nNên tớ sẽ bắt đầu kiếm \nkinh phí để nguyên góp cho Quá Trình.;DANG.24
Phải có đủ $250.00 trước hai \ntháng phải không, được thôi.;DANG.25
DANG: HẮN CHÍNH LÀ NGƯỜI CỦA SỰ NGHIỆP, ĐÓ LÀ KẺ THÙ CỦA CHÚNG TA.;DANG.DANG_1
Chào em, Nhung.;DANG.DANG_2
Đúng vậy, Nhưng chỉ có \nmột thứ mà anh không bao giờ có được...;DANG.DANG_3
ừ!;DANG.tut1
DANG: Chào cậu, cậu có đăng ký tham gia \nvào Quá Trình hay không ?;DANG.NHUNG_T1
DANG: Tớ muốn có công thức tạo ra một trò chơi, \nNên tớ sẽ tham gia vào Quá Trình.;DANG.NHUNG_T2
DANG: Khu vực tuyển chọn ở rất xa, tớ phải chờ MI. \nBởi vì MI có phương tiện để tớ được đi cùng.;DANG.TAP_1_2
DANG: Chắc chắn, tớ vẫn đang chờ MI, \nBởi vì ở nông thôn đến trung tâm không \nthể biết vị trí chính xác của khu vực.;DANG.TAP_1_3
DANG: Không cần thiết đâu, tớ sẽ chờ MI đến.;DANG.TAP_1_4
DANG: Có lẽ, tớ bị loại cũng không sao đâu. \nVì tớ đã rất quen với cuộc sống nghèo đói, khó khăn.;DANG.TAP_1_5
DANG: Bởi vì tớ ham vui, nên đua đòi được \nđến trung tâm để tham gia cuộc tuyển chọn, \nđể cảm nhận một sự kiện quan trọng nhất của quốc gia.;DANG.TAP_1_6
DANG: À có sự nhầm lẫn, \nLà một sự kiện quan trọng nhất của con người.;DANG.TAP_1_7
DANG: ...;DANG.TAP_1_8
DANG: (Hỏi mãi, mệt quá im luôn. Không thèm trả lời);DANG.TAP_1_9
DANG: Hỏi lại, nói điều này ...Mệt mỏi!;DANG.TAP_1_10
DANG: Nico hỏi lại lần nữa hả, tớ đã nói là đang đợi em gái đến.;DANG.TAP_1_11
DANG: Cuộc thi là vớ vẩn;DANG.TAP_1_13
DANG: Vâng, tớ nói rồi. Tớ đang chờ MI.;DANG.TAP_1_15
DANG: Bởi vì, ngày hôm qua tớ đã vượt qua hai lần thử thách. tớ cảm nhận thử thách quá bình thường,\nrất đơn giản. tớ cứ tưởng tượng chuyện phải vượt qua Quá Trình là điều gì đó rất ghê rợn,\nmà mọi người đều nói:;DANG.TAP_1_14
DANG: Được thôi, vậy thì tớ sẽ không chờ MI đến nữa.;DANG.TAP_1_12
DANG: Tại sao NICO lại hỏi những câu hỏi mà đã biết đáp án là tớ vẫn sẽ chờ em gái đến.;DANG.TAP_1_16
DANG: Không cần thiết đâu, ...tớ tin chắc chắn là em gái sẽ đến.;DANG.TAP_1_17
Trả lời khôn, ngoan.;DANG.TAP_1_a
Tiếp tục chờ em gái đến.;DANG.TAP_1_b
Không trả lời;DANG.TAP_1_c
Nói một câu chuyện khác;DANG.TAP_1_d
MIễn cười;DANG.TAP_1_chuckle
Cuộc thi là vớ vẩn;DANG.TAP_1_e
Hỏi về hỗ trợ mùa thi.;DANG.TAP_1_f
Phần hỗ trợ cho kỳ thi là một trong các phần của Quy Trình, Nhiệm vụ của chúng là hỗ trợ,\ntuyển dụng cho Quá Trình một cách rất chuyên nghiệp. \nNhưng, đó là một đội quân yếu nhất của nhóm Quá Trình.;DANG.TAP_1_g
Hỏi về số tiền đóng góp;DANG.TAP_1_h
Xác nhận sẽ thanh toán kinh phí;DANG.TAP_1_i
DANG: Tớ muốn có một công việc.;DANG.waiter
DANG: Xin chào, cậu có biết khu vực dự bị không ?;DANG.TAP_1_20
DANG: Tớ là một ứng cử viên của Quá Trình.;DANG.TAP_1_21
DANG: Cậu có biết khu vực dự bị không?;DANG.TAP_1_22
DANG: Khu vực dự bị!;DANG.TAP_1_23
DANG: Quá tốt, Chúng ta có thể cùng nhau đến đó. \nCô ấy có thể là hoa tiêu tốt nhất đấy.;DANG.TAP_1_25
DANG: Không sao đâu, cứ việc triển khai thôi nào.;DANG.TAP_1_26
DANG: Thôi nào...;DANG.TAP_1_32
DANG: Tất nhiên, thôi nào, đi thôi.;DANG.TAP_1_34
DANG: Chắn chắc và rất cảm ơn.;DANG.TAP_1_40
DANG: Hiện tại, tớ không thể đóng góp.;DANG.TAP_1_41
DANG: Được thôi, phí nguyên góp là bao nhiêu.;DANG.TAP_1_42
DANG: Có lẽ $1 là số kinh phí lớn nhất mà tớ từng có. \nChắn chắc tớ sẽ nguyên góp gần đủ $1;DANG.TAP_1_43
DANG: Đồng ý thanh toán, nhưng \ntớ phải biết con số là bao nhiêu.;DANG.TAP_1_44
DANG: Tớ chắc chắn là sẽ đậu vào Quá Trình, \nNên tớ sẽ bắt đầu kiếm kinh phí để nguyên góp.;DANG.TAP_1_45
DANG: Cậu đã biết đường đi rồi chứ ?;DANG.TAP_1_46
DANG: Quá tuyệt !;DANG.TAP_1_47
DANG: Cảm ơn, nhưng tớ phải đi tìm nhà trọ ở.;DANG.TAP_1_48
DANG: Đúng vậy, tớ không phải là \nNgười sống tại trung tâm thành phố.;DANG.TAP_1_49
DANG: Được thôi, nhưng cậu có thể \ncho tớ vay mượn để được trở thành chủ không ?;DANG.TAP2_13
DANG: Là công việc gì ?;DANG.TAP2_11
DANG: Là trở thành grabbike ?;DANG.TAP2_12
Tại sao đã tham gia vào Quá Trình đã rất lâu \nmà tớ không thể học được công thức chế tạo trò chơi nhỉ?;DANG.cutscene_demo_1
Ổn thôi, tớ sẽ tự khám phá!;DANG.cutscene_demo_2
(Chán quá,...mình đang viết cái gì đây..);DANG.cutscene_demo_3
Xin chào, hôm nay tớ đến đây để làm thủ tục.;DANG.TAP2_line_26
Vâng,;DANG.TAP2_line_27
tớ xin nộp hồ sơ này.;DANG.TAP2_line_28
Chắc chắn;DANG.TAP2_line_29
Tốt quá, cảm ơn. \nXin chào tạm biệt.;DANG.TAP2_line_30
tớ là một tân bình của \nĐ.IT đấy, ID của tớ đây.;DANG.TAP2_line_31
tớ chỉ cần nơi gần Đ.IT nhất để \nđi đến cho thuận lợi thôi. \ntớ vẫn chưa cần những dịch vụ đó. Cảm ơn,;DANG.TAP2_line_32
Tạm biệt.;DANG.TAP2_line_33
Xin chào, tớ là .... \nCác cậu là ai?;DANG.TAP2_line_34
tớ đã thuê phòng này rồi, \ncác cậu cứ ở lại vui chơi nhé.;DANG.TAP2_line_35
Ôi, tớ cứ tưởng. \nChính vì thế mà phí thuê quá rẻ.;DANG.TAP2_line_36
tớ có nên thuê một phòng khác, \nchỉ dành riêng cho một người được không?;DANG.TAP2_line_37
Đành chấp nhận, tên của tớ là ....DANG \ntớ vẫn chưa biết tên của cậu.;DANG.TAP2_line_38
Rất vui được gặp mọi người, \ntớ đã quá mệt mỏi rồi. tớ đi ngủ đây, \nchúc buổi chiều tốt lành.;DANG.TAP2_line_39
Cuối cùng, cũng có đủ tiền để đóng góp.;DANG.done_jobtaxi
DANG: Chào PHI;DANG.demo_a
DANG: Có chuyện gì vậy!;DANG.demo_c
DANG: Hãy cho tớ xem cậu đã học được gì từ DIT;DANG.demo_d
DANG: Tớ cần phải chào hỏi mọi người \ntrước khi muốn rời khỏi phòng.;DANG.demo_f
DANG: Tớ nghe tin đồn rằng SU NGHIEP và Quá Trình \nđang đối đầu với nhau. Cậu là người sự nghiệp à.;DANG.demo_e
tớ cần tìm việc.;DANG.TAP2_job
tớ cần đến DIT để đăng ký trước;DANG.TAP2_donetaxi
Bây giờ, tớ nên đến DIT để ghi danh;DANG.done_jobtaxigoDIT
Thời gian của cuộc thi đã diễn ra;DANG.done1
Cuối cùng, chúng ta thực hiện được nó. \nBây giờ, chúng ta nên đến DuBI;DANG.done2
Nico: Tại sao cậu vẫn còn ở đây? \nMau lên, hãy tiến vào khu vực tuyển chọn.;NICO.TAP_1_2
Nico: MI, nó chưa đủ tuổi để được tham gia vào cuộc tuyển chọn, \nchính vì thế nó có đến đó được hay không cũng không quan trọng. \nNhưng cậu là một ứng viên, tại sao vẫn còn ở đây.;NICO.TAP_1_3
Nico: Hôm nay chắc chắn MI, nó ngủ dậy muộn, \nkhông thể trở thành kẻ chỉ địa điểm được. \nTại sao cậu không đi theo binh đoàn hướng dẫn của cuộc tuyển chọn.;NICO.TAP_1_4
Nico: Đã nói rồi, nói mãi. Đến trễ là không thể tham gia. \nNhư thế cậu sẽ bị loại, số phận của cậu sẽ gặp nhiều khó khăn hơn nữa.;NICO.TAP_1_5
Nico: Đùa à, đậu vào cuộc tuyển chọn là mơ ước của rất nhiều người, \nlà Quá Trình quan trọng nhất của một đời người. Bị loại không \nsao đâu, cậu nói chuyện nghe hài hước quá.;NICO.TAP_1_6
Nico: Ý của cậu là gì ?;NICO.TAP_1_13
Nico: Cậu phải hiểu đó là Quá Trình chọn lọc giữa người vô dụng và người tài giỏi, \nngười xứng đáng nhất, có tài phục vụ cho quốc gia, người vô dụng \nsẽ trở về cuộc sống khốn khó. Đã hiểu, nhưng tại sao cậu lại không mau tiến đến khu vực của thử thách.;NICO.TAP_1_8
Nico: Này cậu kia, tại sao không trả lời ?;NICO.TAP_1_9
Nico: MI, hôm nay nó đã ngủ dậy muộn mà, \ncậu đã quên lời nico đã nói rồi sao.;NICO.TAP_1_11
Nico: Cậu nói nghe rất hay, bỏ cuộc \nđồng nghĩa là rớt Quá Trình là điều chắc chắn.;NICO.TAP_1_14
Nico: Mỗi ngày con bé đến đền rất sớm, nhưng hôm nay, \nMI ngủ muộn nên nó không thể trở thành một người hướng dẫn.;NICO.TAP_1_15
Nico: Tại sao cậu không đi theo binh đoàn hướng dẫn của cuộc tuyển chọn ?;NICO.TAP_1_16
ANH: Chúng ta là người cùng chung một phòng cả thôi.;ANH.TAP2_line_1
ANH: Chúng ta cũng đã thuê phòng này.;ANH.TAP2_line_2
ANH: Chắc chắn là không được.;ANH.TAP2_line_3
ANH: Ở đây có quy định.;ANH.TAP2_line_4
ANH: Tớ tên là ANH,;ANH.TAP2_line_5
ANH: Anh ấy là NONG.;ANH.TAP2_line_6
ANH: Một người nữa là PHI;ANH.TAP2_line_7
ANH: Chính xác, hắn tỏ vẻ có vấn đề về thần kinh.;ANH.TAP2_line_8
Xin hãy điền đầy đủ thông tin cá nhân vào đây.;NHAN_VIEN.TAP2_line_1
Sau đó đến phòng nguyên góp.;NHAN_VIEN.TAP2_line_2
Xin chào, tớ có thể giúp gì được cho cậu ?;NHAN_VIEN.TAP2_line_3
cậu vui lòng thanh toán $250.00 kinh phí;NHAN_VIEN.TAP2_line_4
cậu có thể đăng ký khu sinh hoạt dành cho tân binh;NHAN_VIEN.TAP2_line_5
Đây là địa chỉ đến đó;NHAN_VIEN.TAP2_line_6
Không, khu vực này chỉ dành cho tân binh thôi.;NHAN_VIEN.TAP2_line_7
Nếu cậu là tân bình hãy cho tớ xem ID;NHAN_VIEN.TAP2_line_8
cậu mai mắn đấy, nơi đây có sự tiện nghi;NHAN_VIEN.TAP2_line_9
chất lượng nhất quốc gia;NHAN_VIEN.TAP2_line_10
Với mật độ an ninh cao, quy định rất nghiêm.;NHAN_VIEN.TAP2_line_11
